City,Country,Source,Reference_ID,Location,Year,ZIP,Aquaponics,pH,EC_uS_cm_25degC,NH4_mgL,NH4_belowLimit,NO2_mgL,NO2_belowLimit,NO3_mgL,NO3_belowLimit,PO4_mgL,PO4_belowLimit,K_mgL,K_belowLimit,Ca_mgL,Ca_belowLimit,Mg_mgL,Mg_belowLimit,SO4_mgL,SO4_belowLimit,Fe_mgL,Fe_belowLimit,Zn_mgL,Zn_belowLimit,Cu_mgL,Cu_belowLimit,Mn_mgL,Mn_belowLimit,B_mgL,B_belowLimit,Mo_mgL,Mo_belowLimit,Ni_mgL,Ni_belowLimit,Na_mgL,Na_belowLimit,Cl_mgL,Cl_belowLimit,Al_mgL,Al_belowLimit,TOC_mgL,TOC_belowLimit
Berlin,Germany,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zuerich,Switzerland,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wageningen,Netherlands,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle,USA,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berlin,Germany,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rumbeke-Beitem,Belgium,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waedenswill,Switzerland,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berlin,Germany,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madbury,USA,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madbury,USA,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stellenbosch,South Africa,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rumbeke-Beitem,Belgium,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saarij<e4>rvi,Finland,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beersheba,Israel,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rumbeke-Beitem,Belgium,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rostock,Germany,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abtshagen,Germany,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami,USA,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W<e4>denswill,Switzerland,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rostock,Germany,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rostock,Germany,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rostock,Germany,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gembloux,Belgium,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budweis,Czech Republic,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rostock,Germany,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rostock,Germany,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berlin,Germany,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ithaca,USA,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,USA,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 ,Canada,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rafsanjan,Iran,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rafsanjan,Iran,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Lafayette,USA,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ithaca,USA,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ithaca,USA,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Spain,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Spain,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Spain,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Spain,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berlin,Germany,Reports,Berliner Wasserbetriebe,Wasserwerk Friedrichshagen,2021,NA,yes,7.4,880,0.05,TRUE,0.03,TRUE,4.6,FALSE,0.02,FALSE,6.2,FALSE,117,FALSE,13.5,FALSE,166,FALSE,0.05,TRUE,0.01,TRUE,0.005,TRUE,0.01,TRUE,0.075,FALSE,NA,NA,0.003,TRUE,43,FALSE,67,FALSE,0.01,TRUE,3.6,FALSE
Rostock,Germany,Reports,Nordwasser,Wasserwerk Rostock,2022,NA,yes,7.51,781,0.11,FALSE,NA,NA,10.1,FALSE,NA,NA,4.55,FALSE,110,FALSE,9.69,FALSE,87.4,FALSE,0.02,TRUE,NA,NA,NA,NA,0.005,TRUE,NA,NA,NA,NA,NA,NA,35.6,FALSE,63.8,FALSE,NA,NA,3.7,FALSE
Minden,Germany,Reports,Mindener Wasser,Wasserwerk Huxh<f6>he,2021,NA,no,7.29,680,0.05,TRUE,0.02,TRUE,16,FALSE,NA,NA,1.5,FALSE,112,FALSE,9.9,FALSE,65,FALSE,0.03,FALSE,NA,NA,0.01,TRUE,0.01,TRUE,0.07,TRUE,NA,NA,0.001,TRUE,20,FALSE,41,FALSE,0.01,TRUE,0.5,FALSE
Torgau,Germany,Reports,Fernwasserversorgung Elbaue-Ostharz GmbH,Wasserwerk Torgau-Ost,2021,NA,no,NA,NA,0.05,TRUE,0.01,TRUE,1.6,FALSE,NA,NA,4.7,FALSE,60,FALSE,9.1,FALSE,127,FALSE,0.0378,FALSE,NA,NA,0.005,TRUE,0.005,TRUE,0.05,TRUE,NA,NA,9.1e-4,FALSE,20.9,FALSE,42.4,FALSE,0.02,TRUE,2.4,FALSE
Wienrode,Germany,Reports,Fernwasserversorgung Elbaue-Ostharz GmbH,Wasserwerk Wienrode,2021,NA,no,NA,NA,0.05,TRUE,0.01,TRUE,8.8,FALSE,NA,NA,1.1,FALSE,21.9,FALSE,3.4,FALSE,26.4,FALSE,0.0152,FALSE,NA,NA,0.005,TRUE,0.005,TRUE,0.02,TRUE,NA,NA,5.2e-4,FALSE,10,FALSE,19.3,FALSE,0.02,TRUE,2.4,FALSE
Hamburg,Germany,Reports,Wasserbeschaffungsverband Harburg,Wasserwerk Adendorf,2021,NA,no,7.75,276,0.1,TRUE,0.01,TRUE,1.61,FALSE,NA,NA,1.02,FALSE,47.6,FALSE,3.54,FALSE,15.5,FALSE,0.01,TRUE,NA,NA,0.045,FALSE,0.005,TRUE,0.02,TRUE,NA,NA,0.005,TRUE,9.5,FALSE,13,FALSE,NA,NA,NA,NA
Z<fc>rich,Switzerland,Reports,Stadt Z<fc>rich Wasserversorgung,Wasserwerk Z<fc>rich,2021,NA,yes,7.9,284,0.007,FALSE,0.002,FALSE,3.6,FALSE,0.004,FALSE,1.1,FALSE,48.2,FALSE,6.6,FALSE,14.4,FALSE,0.005,TRUE,0.001,TRUE,0.005,TRUE,5e-4,TRUE,0.008,FALSE,5e-4,FALSE,5e-4,TRUE,6.4,FALSE,6.4,FALSE,NA,NA,NA,NA
,Austria,Reports,Wasserverband S<fc>dliches Burgenland,Wasserwerk Oberwart,2021,NA,no,6.9,489,NA,NA,0.01,TRUE,5,FALSE,NA,NA,2,FALSE,70,FALSE,22,FALSE,35,FALSE,0.01,TRUE,NA,NA,NA,NA,0.01,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,21,FALSE,NA,NA,NA,NA
,Austria,Reports,Wasserverband S<fc>dliches Burgenland,Wasserwerk Pinkafeld,2021,NA,no,7.9,159,NA,NA,0.01,TRUE,1,FALSE,NA,NA,1,FALSE,18,FALSE,7,FALSE,12,FALSE,0.13,FALSE,NA,NA,NA,NA,0.01,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA
,Austria,Reports,Wasserverband S<fc>dliches Burgenland,Wasserwerk Kohfidisch,2021,NA,no,7.9,530,NA,NA,0.01,TRUE,4,FALSE,NA,NA,2,FALSE,68,FALSE,20,FALSE,12,FALSE,0.01,TRUE,NA,NA,NA,NA,0.01,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA
,Austria,Reports,Wasserverband S<fc>dliches Burgenland,Wasserwerk G<fc>ttenbach,2021,NA,no,7.8,622,NA,NA,0.01,TRUE,6,FALSE,NA,NA,2,FALSE,79,FALSE,19,FALSE,14,FALSE,0.01,TRUE,NA,NA,NA,NA,0.01,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA
Abtshagen,Germany,Reports,Zweckverband Wasserversorgung und Abwasserbeseitigung Grimmen,Wasserwerk Abtshagen,2020,NA,yes,7.4,658,0.1,TRUE,0.01,TRUE,0.81,FALSE,0.1,TRUE,1.56,FALSE,102,FALSE,8.02,FALSE,79.5,FALSE,0.02,TRUE,NA,NA,0.01,TRUE,0.005,TRUE,0.02,FALSE,NA,NA,0.005,TRUE,17.8,FALSE,48.4,FALSE,0.02,TRUE,1.3,FALSE
Roeselare,Belgium,Reports,De Watergroep,Water Tower Roeselare,2022,NA,yes,8.01,848,0.15,TRUE,0.02,TRUE,5,TRUE,0.3,TRUE,11.4,FALSE,69,FALSE,25.2,FALSE,145.6,FALSE,0.04,TRUE,0.02,TRUE,0.01,TRUE,0.01,TRUE,0.1693,FALSE,0.002,TRUE,0.004,TRUE,85.6,FALSE,55.75,FALSE,0.02,TRUE,2,TRUE
Seattle,USA,Reports,Seattle Public Utilities,Cedar Distribution,2022,NA,yes,8.2,NA,NA,NA,NA,NA,NA,NA,4e-4,TRUE,0.243,FALSE,7.96,FALSE,0.955,FALSE,NA,NA,0.0195,FALSE,5e-4,TRUE,7.92e-4,FALSE,0.0024,FALSE,NA,NA,5e-4,TRUE,2e-4,TRUE,2.36,FALSE,3.4,FALSE,0.0133,FALSE,0.8,FALSE
Budweis,Czech Republic,Reports,,FROV,2022,NA,yes,NA,NA,NA,NA,NA,NA,2.785,FALSE,0.806,FALSE,1.79,FALSE,30.8,FALSE,3.32,FALSE,3.959,FALSE,0.0109,FALSE,0.0989,FALSE,0.005,TRUE,0.001,TRUE,0.0148,FALSE,0.005,TRUE,0.0138,FALSE,6.66,FALSE,NA,NA,NA,NA,NA,NA
New York,USA,Reports,,New York City,2021,NA,no,7.3,NA,NA,NA,NA,NA,0.75,FALSE,2,FALSE,1,FALSE,9,FALSE,2.7,FALSE,7,FALSE,0.029,FALSE,NA,NA,0.007,FALSE,0.017,FALSE,NA,NA,NA,NA,NA,NA,17,FALSE,25,FALSE,0.02,FALSE,1.7,FALSE
Paris,France,Reports,,Unite distribucion Centre,2021,NA,no,7.6,591.4,NA,NA,NA,NA,36.3,FALSE,NA,NA,NA,NA,113,FALSE,NA,NA,23.3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,FALSE,NA,NA,NA,NA,NA,NA
Istanbul,Turkey,Reports,,<d6>merli 1,2022,NA,no,7.48,399,0.05,TRUE,0.02,TRUE,5.24,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,43.7,FALSE,0.02,TRUE,NA,NA,0.01,TRUE,0.01,TRUE,0.05,FALSE,NA,NA,0.002,TRUE,20.98,FALSE,31.9,FALSE,0.0619,FALSE,2.79,FALSE
Johannesburg,South Africa,Reports,,Bushkoppie,2013,NA,no,7.4,590,1.2,FALSE,0.02,TRUE,27.9,FALSE,1.94444444444444,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antalya B<fc>y<fc>ksehir,Turkey,Reports,,Duraliler 1,2022,NA,no,7.31,626,10,TRUE,0.2,TRUE,14.09,FALSE,0.4,TRUE,1.55,FALSE,92.37,FALSE,17.43,FALSE,25.8,FALSE,0.02966,FALSE,NA,NA,0.005,TRUE,0.02,TRUE,0.0786,FALSE,NA,NA,0.001,TRUE,16.65,FALSE,21.74,FALSE,0.004,TRUE,0.9,FALSE
Lisbon,Portugal,Reports,Lusagua Lisboa,,2021,NA,,8.4,329,0.1,TRUE,0.04,TRUE,NA,NA,NA,NA,NA,NA,26,FALSE,4.8,FALSE,NA,NA,0.0545,FALSE,NA,NA,1e-4,TRUE,0.01,TRUE,NA,NA,NA,NA,0.006,TRUE,NA,NA,NA,NA,0.019,FALSE,NA,NA
Vienna,Austria,Reports,Wiener Wasser,1. Hochquelle,2022,NA,,7.81,367,0.01,TRUE,0.008,TRUE,6.8,FALSE,0.02,TRUE,1,TRUE,53,FALSE,14,FALSE,21,FALSE,0.01,TRUE,NA,NA,0.001,TRUE,0.01,TRUE,NA,NA,NA,NA,0.002,TRUE,2.6,FALSE,5.7,FALSE,NA,NA,1.79,FALSE
Vienna,Austria,Reports,Wiener Wasser,2. Hochquelle,2022,NA,,8.13,238,0.01,TRUE,0.008,TRUE,3.5,FALSE,0.02,TRUE,1,TRUE,37,FALSE,7.4,FALSE,3.6,FALSE,0.01,TRUE,NA,NA,0.037,FALSE,0.01,TRUE,NA,NA,NA,NA,0.002,TRUE,1,TRUE,1,TRUE,NA,NA,0.94,FALSE
M<fc>nchen,Germany,Reports,SWM,,2022,NA,,7.67,538,0.05,TRUE,0.05,TRUE,6.4,FALSE,0.04,TRUE,1.1,FALSE,80.5,FALSE,20.2,FALSE,16.8,FALSE,0.02,TRUE,0.2,TRUE,0.2,TRUE,0.005,TRUE,0.1,TRUE,NA,NA,0.002,TRUE,5.4,FALSE,10.8,FALSE,0.02,TRUE,0.3,FALSE
Kiel,Germany,Reports,Stadtwerke Kiel,Wasserwerk Schulensee,NA,NA,,7.74,570,0.16,FALSE,0.025,FALSE,1.65,FALSE,0.07,FALSE,2.8,FALSE,91.6,FALSE,10.3,FALSE,10,FALSE,0.001,TRUE,NA,NA,0.01,TRUE,0.002,TRUE,NA,NA,NA,NA,0.002,TRUE,15.5,FALSE,19,FALSE,0.02,TRUE,2.4,FALSE
Flensburg,Germany,Reports,Stadtwerke Flensburg,Wasserwerk Ostseebad,2021,NA,,7.8,385,0.04,TRUE,0.03,TRUE,0.9,FALSE,NA,NA,2,FALSE,57,FALSE,4.4,FALSE,21,FALSE,0.01,TRUE,NA,NA,0.005,TRUE,0.01,TRUE,0.1,TRUE,NA,NA,0.001,TRUE,21,FALSE,26,FALSE,0.1,TRUE,1,TRUE
Flensburg,Germany,Reports,Stadtwerke Flensburg,Wasserwerk S<fc>d,2021,NA,,8,316,0.04,TRUE,0.03,TRUE,0.88,FALSE,NA,NA,3.8,FALSE,43,FALSE,6.5,FALSE,10,FALSE,0.019,FALSE,NA,NA,0.005,TRUE,0.01,TRUE,0.077,FALSE,NA,NA,0.001,TRUE,12,FALSE,20,FALSE,0.01,TRUE,1,TRUE
Dresden,Germany,Reports,,Wasserwerk Cosch<fc>tz,NA,NA,,8.14,242,0.05,TRUE,0.01,TRUE,12.1,FALSE,0.01,TRUE,1.5,FALSE,35.9,FALSE,2.91,FALSE,26.9,FALSE,0.02,TRUE,0.01,TRUE,0.001,TRUE,0.005,TRUE,0.011,FALSE,NA,NA,0.002,TRUE,8.6,FALSE,14.4,FALSE,0.05,TRUE,1.8,FALSE
Dresden,Germany,Reports,,Wasserwerk Hosterwitz,NA,NA,,7.96,478,0.05,TRUE,0.01,TRUE,13.6,FALSE,0.088,FALSE,5.26,FALSE,49.3,FALSE,10.6,FALSE,73.6,FALSE,0.02,TRUE,0.01,TRUE,0.002,TRUE,0.005,TRUE,0.055,FALSE,NA,NA,0.002,TRUE,29.2,FALSE,40.4,FALSE,0.05,TRUE,1.2,FALSE
Stuttgart,Germany,Reports,Netze BW,Bodensee,2020,NA,,NA,NA,0.01,TRUE,0.005,TRUE,4,FALSE,0.01,TRUE,1.4,FALSE,50,FALSE,8.5,FALSE,34,FALSE,0.0056,FALSE,NA,NA,4.2e-4,FALSE,5e-4,TRUE,0.011,FALSE,0.001,FALSE,5e-4,TRUE,5.6,FALSE,7.7,FALSE,0.01,TRUE,0.93,FALSE
Stuttgart,Germany,Reports,Netze BW,Landeswasser,2020,NA,,NA,520,0.05,TRUE,0.01,TRUE,19.4,FALSE,NA,NA,2.2,FALSE,76.3,FALSE,11.5,FALSE,27.1,FALSE,0.02,TRUE,NA,NA,0.005,TRUE,0.005,TRUE,0.05,TRUE,NA,NA,0.002,TRUE,10.8,FALSE,28.3,FALSE,0.005,TRUE,0.78,FALSE
Stuttgart,Germany,Reports,Netze BW,Bodenseewasser,2020,NA,,NA,339,0.05,TRUE,0.01,TRUE,4.1,FALSE,NA,NA,1.4,FALSE,50.9,FALSE,8.5,FALSE,34.8,FALSE,0.02,TRUE,NA,NA,0.005,TRUE,0.005,TRUE,0.05,TRUE,NA,NA,0.002,TRUE,5.7,FALSE,7.9,FALSE,0.005,TRUE,0.92,FALSE
Waterloo,Canada,Reports,,Well W10,2021,NA,,NA,NA,NA,NA,0.01,TRUE,1.23766666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,FALSE,NA,NA,NA,NA,35.5,FALSE,NA,NA,NA,NA,NA,NA
Chicago,USA,Reports,,Raw lake,2022,NA,,8.2,323,NA,NA,0.25,TRUE,0.367,FALSE,0.06,TRUE,1.37,FALSE,34.2,FALSE,11.8,FALSE,23,FALSE,0.0414,FALSE,0.00195,FALSE,0.00272,FALSE,0.001,TRUE,0.0244,FALSE,0.001,TRUE,0.00225,FALSE,8.68,FALSE,14.2,FALSE,0.0454,FALSE,1.94,FALSE
Chicago,USA,Reports,,Outlet South,2022,NA,,7.8,330,NA,NA,0.25,TRUE,0.389,FALSE,0.651,FALSE,1.4,FALSE,35,FALSE,12.1,FALSE,27.7,FALSE,0.0188,FALSE,0.00693,FALSE,0.00111,FALSE,0.001,TRUE,0.0245,FALSE,0.00117,FALSE,0.001,TRUE,9.33,FALSE,17.2,FALSE,0.0368,FALSE,0.57,FALSE
Barcelona,Spain,Reports,Aigues de Barcelona,ETAP Sant Joan Despi,2022,NA,,7.66,NA,0.15,TRUE,0.03,TRUE,11.8,FALSE,0.115,FALSE,14,FALSE,77,FALSE,19,FALSE,126,FALSE,0.015,TRUE,0.1,TRUE,0.015,TRUE,0.015,TRUE,0.215,FALSE,0.0013,FALSE,0.0064,FALSE,108,FALSE,NA,NA,0.03,TRUE,1.2,FALSE
W<e4>denswill,Switzerland,Reports,,,2022,NA,yes,8,299,NA,NA,NA,NA,3.5,FALSE,NA,NA,1.2,FALSE,40.2,FALSE,5.5,FALSE,14,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,FALSE,6.3,FALSE,NA,NA,NA,NA
