component,total_dissolved,total_precipitated,fate,percentage,cation_anion
H+1,1.9277e-6,0,precipitated,0,cation
H3BO3,1e-16,0,precipitated,0,anion
K+1,4.3475e-4,0,precipitated,0,cation
Mg+2,6.6631e-4,0,precipitated,0,cation
Mn+2,9.999499999999999e-17,0,precipitated,0,cation
NH4+1,4.9974e-6,0,precipitated,0,cation
NO2-1,3.5696e-6,0,precipitated,0,anion
NO3-1,0.0047047,0,precipitated,0,anion
PO4-3,1.1495e-7,5.9548000000000007e-5,precipitated,99.807,anion
SO4-2,0.0016466,0,precipitated,0,anion
Zn+2,9.999599999999999e-17,0,precipitated,0,cation
Ca+2,0.0035545999999999998,1.7028e-4,precipitated,4.571,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,1e-16,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.4359e-4,0,precipitated,0,anion
Fe+3,2.2337000000000003e-14,1.7906e-7,precipitated,100,cation
H+1,1.9305e-6,0,precipitated,0,cation
H3BO3,1e-16,0,precipitated,0,anion
K+1,7.621e-4,0,precipitated,0,cation
Mg+2,8.1027e-4,0,precipitated,0,cation
Mn+2,9.999599999999999e-17,0,precipitated,0,cation
NH4+1,3.5696e-6,0,precipitated,0,cation
NO2-1,3.5696e-6,0,precipitated,0,anion
NO3-1,0.0071963,0,precipitated,0,anion
PO4-3,1.1412999999999999e-7,1.0217e-4,precipitated,99.888,anion
SO4-2,0.0018863999999999999,0,precipitated,0,anion
Zn+2,9.9997e-17,0,precipitated,0,cation
Ca+2,1e-16,0,precipitated,0,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,1e-16,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,1e-16,0,precipitated,0,cation
H+1,6.331e-11,0,precipitated,0,cation
H3BO3,1e-16,0,precipitated,0,anion
K+1,6.3935e-4,0,precipitated,0,cation
Mg+2,0.0026736,0,precipitated,0,cation
Mn+2,1e-16,0,precipitated,0,cation
NH4+1,8.5671e-4,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,7.1393e-6,0,precipitated,0,anion
PO4-3,1.1187e-4,0,precipitated,0,anion
SO4-2,1e-16,0,precipitated,0,anion
Zn+2,1e-16,0,precipitated,0,cation
Ca+2,1e-16,0,precipitated,0,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,9.9997e-17,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,1e-16,0,precipitated,0,cation
H+1,4.5079e-4,0,precipitated,0,cation
H3BO3,1e-16,0,precipitated,0,anion
K+1,9.5903e-4,0,precipitated,0,cation
Mg+2,0.0026736,0,precipitated,0,cation
Mn+2,1e-16,0,precipitated,0,cation
NH4+1,7.139299999999999e-7,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,0.004283599999999999,0,precipitated,0,anion
PO4-3,3.1963e-4,0,precipitated,0,anion
SO4-2,1e-16,0,precipitated,0,anion
Zn+2,9.999899999999999e-17,0,precipitated,0,cation
Ca+2,1e-16,0,precipitated,0,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,9.999899999999999e-17,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,1e-16,0,precipitated,0,cation
H+1,1.4863e-4,0,precipitated,0,cation
H3BO3,1e-16,0,precipitated,0,anion
K+1,8.951e-4,0,precipitated,0,cation
Mg+2,0.0026736,0,precipitated,0,cation
Mn+2,1e-16,0,precipitated,0,cation
NH4+1,5.3545e-4,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,7.1393e-4,0,precipitated,0,anion
PO4-3,1.0654e-4,0,precipitated,0,anion
SO4-2,1e-16,0,precipitated,0,anion
Zn+2,1e-16,0,precipitated,0,cation
Ca+2,0.0041716,0.00378,precipitated,47.537,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,4.7213e-7,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,6.731300000000001e-13,1.7906e-7,precipitated,100,cation
H+1,1.8391e-4,0,precipitated,0,cation
H3BO3,2.5902e-5,0,precipitated,0,anion
K+1,0.0037286999999999997,0,precipitated,0,cation
Mg+2,0.0023033999999999997,0,precipitated,0,cation
Mn+2,7.4755e-8,8.1163e-6,precipitated,99.087,cation
NH4+1,1.5706e-4,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,0.014072,0,precipitated,0,anion
PO4-3,9.362300000000001e-5,0.0022761,precipitated,96.049,anion
SO4-2,0.0042977,0,precipitated,0,anion
Zn+2,7.648899999999999e-7,0,precipitated,0,cation
Ca+2,0.006947,9.572900000000001e-4,precipitated,12.111,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,3.1475e-10,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.4359e-4,0,precipitated,0,anion
Fe+3,2.0194000000000002e-13,3.0438e-9,precipitated,99.993,cation
H+1,9.0785e-6,0,precipitated,0,cation
H3BO3,1.3876e-8,0,precipitated,0,anion
K+1,2.7006e-4,0,precipitated,0,cation
Mg+2,5.8118e-4,0,precipitated,0,cation
Mn+2,9.9997e-17,0,precipitated,0,cation
NH4+1,1.2851000000000001e-5,0,precipitated,0,cation
NO2-1,9.999899999999999e-17,0,precipitated,0,anion
NO3-1,0.0044477,0,precipitated,0,anion
PO4-3,3.2113e-6,5.7437e-4,precipitated,99.444,anion
SO4-2,0.005193499999999999,0,precipitated,0,anion
Zn+2,9.025300000000001e-9,0,precipitated,0,cation
Ca+2,0.011139,3.7366e-4,precipitated,3.246,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,4.7208e-10,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.4361000000000002e-4,0,precipitated,0,anion
Fe+3,6.5778e-14,6.9833e-9,precipitated,99.999,cation
H+1,2.5451e-6,0,precipitated,0,cation
H3BO3,1.6650999999999998e-8,0,precipitated,0,anion
K+1,3.5063e-4,0,precipitated,0,cation
Mg+2,0.0013344,0,precipitated,0,cation
Mn+2,1e-16,0,precipitated,0,cation
NH4+1,1.0709e-5,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,0.019757,0,precipitated,0,anion
PO4-3,1.8432999999999998e-7,2.242e-4,precipitated,99.918,anion
SO4-2,0.0019424,0,precipitated,0,anion
Zn+2,2.9066000000000003e-9,0,precipitated,0,cation
Ca+2,0.0062152,3.4275e-4,precipitated,5.226,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,9.9997e-17,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.4361000000000002e-4,0,precipitated,0,anion
Fe+3,1e-16,0,precipitated,0,cation
H+1,2.5555000000000002e-5,0,precipitated,0,cation
H3BO3,1e-16,0,precipitated,0,anion
K+1,2.8337e-4,0,precipitated,0,cation
Mg+2,7.416500000000001e-4,0,precipitated,0,cation
Mn+2,1.0001e-16,0,precipitated,0,cation
NH4+1,2.7844e-6,0,precipitated,0,cation
NO2-1,2.1417999999999998e-7,0,precipitated,0,anion
NO3-1,0.011746999999999999,0,precipitated,0,anion
PO4-3,1.1482000000000001e-5,2.0565e-4,precipitated,94.712,anion
SO4-2,1e-16,0,precipitated,0,anion
Zn+2,1e-16,0,precipitated,0,cation
Ca+2,8.2617e-4,3.9638e-4,precipitated,32.423,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,1.5736999999999999e-7,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,1e-16,0,precipitated,0,cation
H+1,0.0013635,0,precipitated,0,cation
H3BO3,8.3256e-6,0,precipitated,0,anion
K+1,0.0045752,0,precipitated,0,cation
Mg+2,7.3627e-4,0,precipitated,0,cation
Mn+2,1e-16,0,precipitated,0,cation
NH4+1,1e-16,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,1e-16,0,precipitated,0,anion
PO4-3,7.0167e-4,2.3783000000000002e-4,precipitated,25.315,anion
SO4-2,8.9509e-4,0,precipitated,0,anion
Zn+2,3.0594999999999996e-7,0,precipitated,0,cation
Ca+2,0.0029576,1.614e-4,precipitated,5.175,cation
CO3-2,1.7998000000000001e-6,0,precipitated,0,anion
Cu+2,3.5634e-8,4.0499e-7,precipitated,91.913,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,5.3829e-15,8.952999999999999e-7,precipitated,100,cation
H+1,3.7159999999999997e-7,0,precipitated,0,cation
H3BO3,6.4755e-6,0,precipitated,0,anion
K+1,5.8822e-4,0,precipitated,0,cation
Mg+2,7.4042e-4,0,precipitated,0,cation
Mn+2,7.281399999999999e-8,0,precipitated,0,cation
NH4+1,1e-16,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,1e-16,0,precipitated,0,anion
PO4-3,1.4648e-8,9.6841e-5,precipitated,99.985,anion
SO4-2,0.0020273,0,precipitated,0,anion
Zn+2,4.5896e-7,0,precipitated,0,cation
Ca+2,0.0028929999999999997,2.2597e-4,precipitated,7.245,cation
CO3-2,1.7998000000000001e-6,0,precipitated,0,anion
Cu+2,4.1652e-8,2.7308e-7,precipitated,86.766,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,5.8091e-15,8.952999999999999e-7,precipitated,100,cation
H+1,5.622899999999999e-7,0,precipitated,0,cation
H3BO3,6.4755e-6,0,precipitated,0,anion
K+1,3.8362e-4,0,precipitated,0,cation
Mg+2,6.1702e-4,0,precipitated,0,cation
Mn+2,7.281399999999999e-8,0,precipitated,0,cation
NH4+1,1e-16,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,1e-16,0,precipitated,0,anion
PO4-3,1.6667e-8,1.3558e-4,precipitated,99.988,anion
SO4-2,0.0020273,0,precipitated,0,anion
Zn+2,2.2948e-7,0,precipitated,0,cation
Ca+2,0.0030383,8.070000000000001e-5,precipitated,2.587,cation
CO3-2,1.7998000000000001e-6,0,precipitated,0,anion
Cu+2,2.2153e-7,2.139e-6,precipitated,90.615,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,1.1058e-15,8.952999999999999e-7,precipitated,100,cation
H+1,-4.6884999999999997e-7,0,precipitated,0,cation
H3BO3,6.4755e-6,0,precipitated,0,anion
K+1,3.8362e-4,0,precipitated,0,cation
Mg+2,6.1703e-4,0,precipitated,0,cation
Mn+2,7.2815e-8,0,precipitated,0,cation
NH4+1,1e-16,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,1e-16,0,precipitated,0,anion
PO4-3,7.768500000000001e-9,4.842e-5,precipitated,99.984,anion
SO4-2,0.0020273,0,precipitated,0,anion
Zn+2,7.6494e-8,0,precipitated,0,cation
Ca+2,0.0028607,2.5823e-4,precipitated,8.279,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,8.7512e-8,1.4853999999999998e-7,precipitated,62.927,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,8.6069e-15,8.952999999999999e-7,precipitated,100,cation
H+1,1.0497e-6,0,precipitated,0,cation
H3BO3,6.4755e-6,0,precipitated,0,anion
K+1,3.8362e-4,0,precipitated,0,cation
Mg+2,6.1702e-4,0,precipitated,0,cation
Mn+2,7.281399999999999e-8,0,precipitated,0,cation
NH4+1,1e-16,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,1e-16,0,precipitated,0,anion
PO4-3,3.1158e-8,1.5494e-4,precipitated,99.98,anion
SO4-2,0.0020273,0,precipitated,0,anion
Zn+2,6.8844e-7,0,precipitated,0,cation
Ca+2,0.0018605,3.6751e-4,precipitated,16.495,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,9.999599999999999e-17,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,9.9997e-17,0,precipitated,0,cation
H+1,7.3502e-5,0,precipitated,0,cation
H3BO3,1e-16,0,precipitated,0,anion
K+1,7.7234e-4,0,precipitated,0,cation
Mg+2,5.7173e-4,0,precipitated,0,cation
Mn+2,9.999899999999999e-17,0,precipitated,0,cation
NH4+1,0.0017277,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,0.0010423,0,precipitated,0,anion
PO4-3,3.7775000000000003e-5,2.2051000000000001e-4,precipitated,85.374,anion
SO4-2,0.0012006999999999999,0,precipitated,0,anion
Zn+2,9.999799999999999e-17,0,precipitated,0,cation
Ca+2,5.4754e-4,1.8508e-4,precipitated,25.263,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,8.986399999999999e-7,1.7372e-6,precipitated,65.908,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,1.9909e-14,3.1855e-5,precipitated,100,cation
H+1,2.2497000000000002e-6,0,precipitated,0,cation
H3BO3,2.4006e-5,0,precipitated,0,anion
K+1,0.010263999999999999,0,precipitated,0,cation
Mg+2,8.9131e-4,0,precipitated,0,cation
Mn+2,2.9955999999999996e-7,4.4512e-6,precipitated,93.694,cation
NH4+1,1.0652e-4,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,0.012012,0,precipitated,0,anion
PO4-3,1.5996000000000001e-6,1.155e-4,precipitated,98.634,anion
SO4-2,1e-16,0,precipitated,0,anion
Zn+2,1.2208e-5,0,precipitated,0,cation
Ca+2,2.5797e-4,2.6779e-4,precipitated,50.934,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,5.1114e-7,1.6513e-6,precipitated,76.363,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,1.1861000000000001e-14,3.1525e-5,precipitated,100,cation
H+1,3.0552e-6,0,precipitated,0,cation
H3BO3,1e-16,0,precipitated,0,anion
K+1,1e-16,0,precipitated,0,cation
Mg+2,7.2234e-4,0,precipitated,0,cation
Mn+2,1.7505e-7,2.7233000000000003e-6,precipitated,93.961,cation
NH4+1,1e-16,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,1e-16,0,precipitated,0,anion
PO4-3,1.451e-6,1.6339e-4,precipitated,99.12,anion
SO4-2,1e-16,0,precipitated,0,anion
Zn+2,9.8315e-6,0,precipitated,0,cation
