,chemFormula,chemCation,chemAnion,solSaltmol,solCationmol,solAnionmol,solSaltmg,solCationmg,solAnionmg
Iron(III) hydroxide,\ce{Fe(OH)3},Fe,OH,1.0e-10,1.0e-10,3.0e-10,1.1e-05,5.6e-06,5.1e-06
Copper sulfid,\ce{CuS},Cu,S,2.4e-08,2.4e-08,2.4e-08,2.4e-03,1.6e-03,7.8e-04
Iron(III) phosphate dihydrate,\ce{FePO4 * 2 H2O},Fe,PO4,3.1e-08,3.1e-08,3.1e-08,5.9e-03,1.8e-03,3.0e-03
Copper phosphate,\ce{Cu3(PO4)2},Cu,PO4,1.7e-08,5.0e-08,3.3e-08,6.4e-03,3.2e-03,3.2e-03
Zinc orthophosphate tetrahydrate,\ce{Zn3(PO4)2 * 4 H2O},Zn,PO4,1.5e-07,4.6e-07,3.1e-07,     NA,3.0e-02,2.9e-02
Nickel phosphate,\ce{Ni3(PO4)2},Ni,PO4,2.1e-07,6.4e-07,4.3e-07,7.8e-02,3.8e-02,4.0e-02
Zinc hydroxide,\ce{Zn(OH)2},Zn,OH,2.0e-06,2.0e-06,3.9e-06,1.9e-01,1.3e-01,6.7e-02
Iron(II) hydroxide,\ce{Fe(OH)2},Fe,OH,2.3e-06,2.3e-06,4.6e-06,2.1e-01,1.3e-01,7.8e-02
Manganese carbonate,\ce{MnCO3},Mn,CO3,4.7e-06,4.7e-06,4.7e-06,5.4e-01,2.6e-01,2.8e-01
Calcium phosphate,\ce{Ca3(PO4)2},Ca,PO4,2.5e-06,7.4e-06,4.9e-06,7.7e-01,3.0e-01,4.7e-01
Nickel hydroxide,\ce{Ni(OH)2},Ni,OH,5.2e-06,5.2e-06,1.0e-05,4.8e-01,3.0e-01,1.8e-01
Iron(II) carbonate,\ce{FeCO3},Fe,CO3,5.6e-06,5.6e-06,5.6e-06,6.5e-01,3.1e-01,3.4e-01
Magnesium orthophosphate,\ce{Mg3(PO4)2},Mg,PO4,6.3e-06,1.9e-05,1.3e-05,1.6e+00,4.6e-01,1.2e+00
Zinc carbonate,\ce{ZnCO3},Zn,CO3,1.2e-05,1.2e-05,1.2e-05,1.5e+00,7.9e-01,7.2e-01
Calcium carbonate,\ce{CaCO3},Ca,CO3,5.8e-05,5.8e-05,5.8e-05,5.8e+00,2.3e+00,3.5e+00
Magnesium hydroxide,\ce{Mg(OH)2},Mg,OH,1.1e-04,1.1e-04,2.2e-04,6.5e+00,2.7e+00,3.8e+00
Nickel carbonate,\ce{NiCO3},Ni,CO3,3.8e-04,3.8e-04,3.8e-04,4.5e+01,2.2e+01,2.3e+01
Magnesium carbonate,\ce{MgCO3},Mg,CO3,2.6e-03,2.6e-03,2.6e-03,2.2e+02,6.3e+01,1.6e+02
Calcium sulfate dihydrate,\ce{CaSO4 * 2 H2O},Ca,SO4,5.6e-03,5.6e-03,5.6e-03,9.6e+02,2.2e+02,5.4e+02
Calcium sulfate,\ce{CaSO4},Ca,SO4,7.0e-03,7.0e-03,7.0e-03,9.5e+02,2.8e+02,6.7e+02
Calcium hydroxide,\ce{Ca(OH)2},Ca,OH,1.1e-02,1.1e-02,2.2e-02,8.0e+02,4.3e+02,3.7e+02
Zinc sulfite,\ce{ZnSO3},Zn,SO3,1.2e-02,1.2e-02,1.2e-02,1.8e+03,8.1e+02,9.9e+02
Boric acid,\ce{B(OH)3},B,OH,9.3e-01,9.3e-01,2.8e+00,5.8e+04,1.0e+04,4.8e+04
Zinc sulfid,\ce{ZnS},Zn,S,1.7e-01,1.7e-01,1.7e-01,1.7e+04,1.1e+04,6.1e+03
Potassium sulfate,\ce{K2SO4},K,SO4,6.9e-01,1.4e+00,6.9e-01,1.2e+05,5.4e+04,6.6e+04
Ammonium dihydrogen phosphate,\ce{NH4H2PO4},NH4,H2PO4,3.5e+00,3.5e+00,3.5e+00,4.0e+05,6.3e+04,3.4e+05
Potassium dihydrogen phosphate,\ce{KH2PO4},K,H2PO4,1.8e+00,1.8e+00,1.8e+00,2.5e+05,7.1e+04,1.8e+05
Magnesium sulfate,\ce{MgSO4},Mg,SO4,3.0e+00,3.0e+00,3.0e+00,3.6e+05,7.2e+04,2.8e+05
Copper sulfate,\ce{CuSO4},Cu,SO4,1.4e+00,1.4e+00,1.4e+00,2.2e+05,8.7e+04,1.3e+05
Iron(II) sulfate,\ce{FeSO4},Fe,SO4,1.9e+00,1.9e+00,1.9e+00,2.9e+05,1.1e+05,1.9e+05
Magnesium nitrate,\ce{Mg(NO3)2},Mg,NO3,4.8e+00,4.8e+00,9.6e+00,7.1e+05,1.2e+05,6.0e+05
Potassium hydrogencarbonate,\ce{KHCO3},K,HCO3,3.6e+00,3.6e+00,3.6e+00,3.6e+05,1.4e+05,2.2e+05
Magnesium chloride,\ce{MgCl2},Mg,Cl,5.9e+00,5.9e+00,1.2e+01,5.6e+05,1.4e+05,4.2e+05
Potassium nitrate,\ce{KNO3},K,NO3,3.8e+00,3.8e+00,3.8e+00,3.8e+05,1.5e+05,2.3e+05
Nickel sulphate,\ce{NiSO4},Ni,SO4,2.6e+00,2.6e+00,2.6e+00,4.0e+05,1.5e+05,2.5e+05
Potassium chloride,\ce{KCl},K,Cl,4.8e+00,4.8e+00,4.8e+00,3.5e+05,1.9e+05,1.7e+05
Ammonium monohydrogen phosphate,\ce{(NH4)2HPO4},NH4,HPO4,5.2e+00,1.0e+01,5.2e+00,6.9e+05,1.9e+05,5.0e+05
Iron(III) nitrate,\ce{Fe(NO3)3},Fe,NO3,3.6e+00,3.6e+00,1.1e+01,8.7e+05,2.0e+05,6.7e+05
Ammonium sulfate,\ce{(NH4)2SO4},NH4,SO4,5.8e+00,1.2e+01,5.8e+00,7.6e+05,2.1e+05,5.5e+05
Manganous sulfate,\ce{MnSO4},Mn,SO4,4.2e+00,4.2e+00,4.2e+00,6.3e+05,2.3e+05,4.0e+05
Zinc sulfate,\ce{ZnSO4},Zn,SO4,3.6e+00,3.6e+00,3.6e+00,5.8e+05,2.3e+05,3.4e+05
Calcium chloride,\ce{CaCl2},Ca,Cl,7.4e+00,7.4e+00,1.5e+01,8.1e+05,2.9e+05,5.2e+05
Nickel chloride,\ce{NiCl2},Ni,Cl,5.2e+00,5.2e+00,1.0e+01,6.7e+05,3.1e+05,3.7e+05
Iron(III) chloride,\ce{FeCl3},Fe,Cl,5.5e+00,5.5e+00,1.7e+01,9.1e+05,3.1e+05,5.9e+05
Nickel nitrate,\ce{Ni(NO3)2},Ni,NO3,5.4e+00,5.4e+00,1.1e+01,9.9e+05,3.2e+05,6.7e+05
Manganese dichloride,\ce{MnCl2},Mn,Cl,6.2e+00,6.2e+00,1.2e+01,7.7e+05,3.4e+05,4.4e+05
Calcium nitrate,\ce{Ca(NO3)2},Ca,NO3,8.7e+00,8.7e+00,1.7e+01,1.4e+06,3.5e+05,1.1e+06
Copper chloride,\ce{CuCl2},Cu,Cl,5.6e+00,5.6e+00,1.1e+01,7.6e+05,3.6e+05,4.0e+05
Zinc nitrate,\ce{Zn(NO3)2},Zn,NO3,6.3e+00,6.3e+00,1.3e+01,1.2e+06,4.1e+05,7.8e+05
Ammonium nitrate,\ce{NH4NO3},NH4,NO3,2.6e+01,2.6e+01,2.6e+01,2.1e+06,4.8e+05,1.6e+06
Copper nitrate,\ce{Cu(NO3)2},Cu,NO3,7.7e+00,7.7e+00,1.5e+01,1.4e+06,4.9e+05,9.5e+05
Potassium carbonate,\ce{K2CO3},K,CO3,8.0e+00,1.6e+01,8.0e+00,1.1e+06,6.3e+05,4.8e+05
Potassium orthophosphate,\ce{K3PO4},K,PO4,5.4e+00,1.6e+01,5.4e+00,1.1e+06,6.3e+05,5.1e+05
Potassium hydroxide,\ce{KOH},K,OH,2.1e+01,2.1e+01,2.1e+01,1.2e+06,8.4e+05,3.7e+05
Iron(II) sulfid,\ce{FeS},Fe,S,2.4e+01,2.4e+01,2.4e+01,2.2e+06,1.4e+06,7.8e+05
Zinc chloride,\ce{ZnCl2},Zn,Cl,3.0e+01,3.0e+01,6.0e+01,4.1e+06,2.0e+06,2.1e+06
Manganese sulfid,\ce{MnS},Mn,S,5.5e+03,5.5e+03,5.5e+03,4.8e+08,3.0e+08,1.8e+08
